Timestamp,Open,High,Low,Close,Volume
1730220600000,72746.09000000,72779.25000000,72718.00000000,72756.30000000,29.59009000
1730220660000,72756.29000000,72830.00000000,72746.17000000,72797.55000000,40.17450000
1730220720000,72797.54000000,72850.00000000,72796.00000000,72836.00000000,50.33458000
1730220780000,72835.99000000,72923.74000000,72830.01000000,72907.87000000,146.46485000
1730220840000,72907.87000000,72907.87000000,72750.00000000,72778.00000000,110.22572000
1730220900000,72777.99000000,72794.00000000,72754.13000000,72789.32000000,43.99987000
1730220960000,72789.31000000,72800.00000000,72750.01000000,72760.44000000,29.90988000
1730221020000,72760.44000000,72797.96000000,72756.33000000,72792.07000000,46.53466000
1730221080000,72792.08000000,72792.08000000,72664.00000000,72680.01000000,48.78564000
1730221140000,72680.01000000,72739.44000000,72670.00000000,72739.44000000,14.03746000
